,File_path,Emotion
34,./Audios\Dataset\1001_ITS_ANG_XX.wav,angry
35,./Audios\Dataset\1001_ITS_DIS_XX.wav,disgust
36,./Audios\Dataset\1001_ITS_FEA_XX.wav,fear
37,./Audios\Dataset\1001_ITS_HAP_XX.wav,happy
38,./Audios\Dataset\1001_ITS_NEU_XX.wav,neutral
39,./Audios\Dataset\1001_ITS_SAD_XX.wav,sad
40,./Audios\Dataset\1001_IWL_ANG_XX.wav,angry
41,./Audios\Dataset\1001_IWL_DIS_XX.wav,disgust
42,./Audios\Dataset\1001_IWL_FEA_XX.wav,fear
43,./Audios\Dataset\1001_IWL_HAP_XX.wav,happy
44,./Audios\Dataset\1001_IWL_NEU_XX.wav,neutral
45,./Audios\Dataset\1001_IWL_SAD_XX.wav,sad
46,./Audios\Dataset\1001_IWW_ANG_XX.wav,angry
47,./Audios\Dataset\1001_IWW_DIS_XX.wav,disgust
48,./Audios\Dataset\1001_IWW_FEA_XX.wav,fear
49,./Audios\Dataset\1001_IWW_HAP_XX.wav,happy
50,./Audios\Dataset\1001_IWW_NEU_XX.wav,neutral
51,./Audios\Dataset\1001_IWW_SAD_XX.wav,sad
52,./Audios\Dataset\1001_MTI_ANG_XX.wav,angry
53,./Audios\Dataset\1001_MTI_DIS_XX.wav,disgust
54,./Audios\Dataset\1001_MTI_FEA_XX.wav,fear
55,./Audios\Dataset\1001_MTI_HAP_XX.wav,happy
56,./Audios\Dataset\1001_MTI_NEU_XX.wav,neutral
57,./Audios\Dataset\1001_MTI_SAD_XX.wav,sad
58,./Audios\Dataset\1001_TAI_ANG_XX.wav,angry
59,./Audios\Dataset\1001_TAI_DIS_XX.wav,disgust
60,./Audios\Dataset\1001_TAI_FEA_XX.wav,fear
61,./Audios\Dataset\1001_TAI_HAP_XX.wav,happy
62,./Audios\Dataset\1001_TAI_NEU_XX.wav,neutral
63,./Audios\Dataset\1001_TAI_SAD_XX.wav,sad
64,./Audios\Dataset\1001_TIE_ANG_XX.wav,angry
65,./Audios\Dataset\1001_TIE_DIS_XX.wav,disgust
66,./Audios\Dataset\1001_TIE_FEA_XX.wav,fear
67,./Audios\Dataset\1001_TIE_HAP_XX.wav,happy
68,./Audios\Dataset\1001_TIE_NEU_XX.wav,neutral
69,./Audios\Dataset\1001_TIE_SAD_XX.wav,sad
70,./Audios\Dataset\1001_TSI_ANG_XX.wav,angry
71,./Audios\Dataset\1001_TSI_DIS_XX.wav,disgust
72,./Audios\Dataset\1001_TSI_FEA_XX.wav,fear
73,./Audios\Dataset\1001_TSI_HAP_XX.wav,happy
74,./Audios\Dataset\1001_TSI_NEU_XX.wav,neutral
75,./Audios\Dataset\1001_TSI_SAD_XX.wav,sad
76,./Audios\Dataset\1001_WSI_ANG_XX.wav,angry
77,./Audios\Dataset\1001_WSI_DIS_XX.wav,disgust
78,./Audios\Dataset\1001_WSI_FEA_XX.wav,fear
79,./Audios\Dataset\1001_WSI_HAP_XX.wav,happy
80,./Audios\Dataset\1001_WSI_NEU_XX.wav,neutral
81,./Audios\Dataset\1001_WSI_SAD_XX.wav,sad
82,./Audios\Dataset\1002_DFA_ANG_XX.wav,angry
83,./Audios\Dataset\1002_DFA_DIS_XX.wav,disgust
84,./Audios\Dataset\1002_DFA_FEA_XX.wav,fear
85,./Audios\Dataset\1002_DFA_HAP_XX.wav,happy
86,./Audios\Dataset\1002_DFA_NEU_XX.wav,neutral
87,./Audios\Dataset\1002_DFA_SAD_XX.wav,sad
88,./Audios\Dataset\1002_IEO_ANG_HI.wav,angry
89,./Audios\Dataset\1002_IEO_ANG_LO.wav,angry
90,./Audios\Dataset\1002_IEO_ANG_MD.wav,angry
91,./Audios\Dataset\1002_IEO_DIS_HI.wav,disgust
92,./Audios\Dataset\1002_IEO_DIS_LO.wav,disgust
93,./Audios\Dataset\1002_IEO_DIS_MD.wav,disgust
94,./Audios\Dataset\1002_IEO_FEA_HI.wav,fear
95,./Audios\Dataset\1002_IEO_FEA_LO.wav,fear
96,./Audios\Dataset\1002_IEO_FEA_MD.wav,fear
97,./Audios\Dataset\1002_IEO_HAP_HI.wav,happy
98,./Audios\Dataset\1002_IEO_HAP_LO.wav,happy
99,./Audios\Dataset\1002_IEO_HAP_MD.wav,happy
100,./Audios\Dataset\1002_IEO_NEU_XX.wav,neutral
101,./Audios\Dataset\1002_IEO_SAD_HI.wav,sad
102,./Audios\Dataset\1002_IEO_SAD_LO.wav,sad
103,./Audios\Dataset\1002_IEO_SAD_MD.wav,sad
104,./Audios\Dataset\1002_IOM_ANG_XX.wav,angry
105,./Audios\Dataset\1002_IOM_DIS_XX.wav,disgust
106,./Audios\Dataset\1002_IOM_FEA_XX.wav,fear
107,./Audios\Dataset\1002_IOM_HAP_XX.wav,happy
108,./Audios\Dataset\1002_IOM_NEU_XX.wav,neutral
109,./Audios\Dataset\1002_IOM_SAD_XX.wav,sad
110,./Audios\Dataset\1002_ITH_ANG_XX.wav,angry
111,./Audios\Dataset\1002_ITH_DIS_XX.wav,disgust
112,./Audios\Dataset\1002_ITH_FEA_XX.wav,fear
113,./Audios\Dataset\1002_ITH_HAP_XX.wav,happy
114,./Audios\Dataset\1002_ITH_NEU_XX.wav,neutral
115,./Audios\Dataset\1002_ITH_SAD_XX.wav,sad
116,./Audios\Dataset\1002_ITS_ANG_XX.wav,angry
117,./Audios\Dataset\1002_ITS_DIS_XX.wav,disgust
118,./Audios\Dataset\1002_ITS_FEA_XX.wav,fear
119,./Audios\Dataset\1002_ITS_HAP_XX.wav,happy
120,./Audios\Dataset\1002_ITS_NEU_XX.wav,neutral
121,./Audios\Dataset\1002_ITS_SAD_XX.wav,sad
122,./Audios\Dataset\1002_IWL_ANG_XX.wav,angry
123,./Audios\Dataset\1002_IWL_DIS_XX.wav,disgust
124,./Audios\Dataset\1002_IWL_FEA_XX.wav,fear
125,./Audios\Dataset\1002_IWL_HAP_XX.wav,happy
126,./Audios\Dataset\1002_IWL_NEU_XX.wav,neutral
127,./Audios\Dataset\1002_IWL_SAD_XX.wav,sad
128,./Audios\Dataset\1002_IWW_ANG_XX.wav,angry
129,./Audios\Dataset\1002_IWW_DIS_XX.wav,disgust
130,./Audios\Dataset\1002_IWW_FEA_XX.wav,fear
131,./Audios\Dataset\1002_IWW_HAP_XX.wav,happy
132,./Audios\Dataset\1002_IWW_NEU_XX.wav,neutral
133,./Audios\Dataset\1002_IWW_SAD_XX.wav,sad
134,./Audios\Dataset\1002_MTI_ANG_XX.wav,angry
135,./Audios\Dataset\1002_MTI_DIS_XX.wav,disgust
136,./Audios\Dataset\1002_MTI_FEA_XX.wav,fear
137,./Audios\Dataset\1002_MTI_HAP_XX.wav,happy
138,./Audios\Dataset\1002_MTI_NEU_XX.wav,neutral
139,./Audios\Dataset\1002_MTI_SAD_XX.wav,sad
140,./Audios\Dataset\1002_TAI_ANG_XX.wav,angry
141,./Audios\Dataset\1002_TAI_DIS_XX.wav,disgust
142,./Audios\Dataset\1002_TAI_FEA_XX.wav,fear
143,./Audios\Dataset\1002_TAI_HAP_XX.wav,happy
144,./Audios\Dataset\1002_TAI_NEU_XX.wav,neutral
145,./Audios\Dataset\1002_TAI_SAD_XX.wav,sad
146,./Audios\Dataset\1002_TIE_ANG_XX.wav,angry
147,./Audios\Dataset\1002_TIE_DIS_XX.wav,disgust
148,./Audios\Dataset\1002_TIE_FEA_XX.wav,fear
149,./Audios\Dataset\1002_TIE_HAP_XX.wav,happy
150,./Audios\Dataset\1002_TIE_SAD_XX.wav,sad
151,./Audios\Dataset\1002_TSI_ANG_XX.wav,angry
152,./Audios\Dataset\1002_TSI_DIS_XX.wav,disgust
153,./Audios\Dataset\1002_TSI_FEA_XX.wav,fear
154,./Audios\Dataset\1002_TSI_HAP_XX.wav,happy
155,./Audios\Dataset\1002_TSI_NEU_XX.wav,neutral
156,./Audios\Dataset\1002_TSI_SAD_XX.wav,sad
157,./Audios\Dataset\1002_WSI_ANG_XX.wav,angry
158,./Audios\Dataset\1002_WSI_DIS_XX.wav,disgust
159,./Audios\Dataset\1002_WSI_FEA_XX.wav,fear
160,./Audios\Dataset\1002_WSI_HAP_XX.wav,happy
161,./Audios\Dataset\1002_WSI_NEU_XX.wav,neutral
162,./Audios\Dataset\1002_WSI_SAD_XX.wav,sad
163,./Audios\Dataset\1003_DFA_ANG_XX.wav,angry
164,./Audios\Dataset\1003_DFA_DIS_XX.wav,disgust
165,./Audios\Dataset\1003_DFA_FEA_XX.wav,fear
166,./Audios\Dataset\1003_DFA_HAP_XX.wav,happy
167,./Audios\Dataset\1003_DFA_NEU_XX.wav,neutral
168,./Audios\Dataset\1003_DFA_SAD_XX.wav,sad
169,./Audios\Dataset\1003_IEO_ANG_HI.wav,angry
170,./Audios\Dataset\1003_IEO_ANG_LO.wav,angry
171,./Audios\Dataset\1003_IEO_ANG_MD.wav,angry
172,./Audios\Dataset\1003_IEO_DIS_HI.wav,disgust
173,./Audios\Dataset\1003_IEO_DIS_LO.wav,disgust
174,./Audios\Dataset\1003_IEO_DIS_MD.wav,disgust
175,./Audios\Dataset\1003_IEO_FEA_HI.wav,fear
176,./Audios\Dataset\1003_IEO_FEA_LO.wav,fear
177,./Audios\Dataset\1003_IEO_FEA_MD.wav,fear
178,./Audios\Dataset\1003_IEO_HAP_HI.wav,happy
179,./Audios\Dataset\1003_IEO_HAP_LO.wav,happy
180,./Audios\Dataset\1003_IEO_HAP_MD.wav,happy
181,./Audios\Dataset\1003_IEO_NEU_XX.wav,neutral
182,./Audios\Dataset\1003_IEO_SAD_HI.wav,sad
183,./Audios\Dataset\1003_IEO_SAD_LO.wav,sad
184,./Audios\Dataset\1003_IEO_SAD_MD.wav,sad
185,./Audios\Dataset\1003_IOM_ANG_XX.wav,angry
186,./Audios\Dataset\1003_IOM_DIS_XX.wav,disgust
187,./Audios\Dataset\1003_IOM_FEA_XX.wav,fear
188,./Audios\Dataset\1003_IOM_HAP_XX.wav,happy
189,./Audios\Dataset\1003_IOM_NEU_XX.wav,neutral
190,./Audios\Dataset\1003_IOM_SAD_XX.wav,sad
191,./Audios\Dataset\1003_ITH_ANG_XX.wav,angry
192,./Audios\Dataset\1003_ITH_DIS_XX.wav,disgust
193,./Audios\Dataset\1003_ITH_FEA_XX.wav,fear
194,./Audios\Dataset\1003_ITH_HAP_XX.wav,happy
195,./Audios\Dataset\1003_ITH_NEU_XX.wav,neutral
196,./Audios\Dataset\1003_ITH_SAD_XX.wav,sad
197,./Audios\Dataset\1003_ITS_ANG_XX.wav,angry
198,./Audios\Dataset\1003_ITS_DIS_XX.wav,disgust
199,./Audios\Dataset\1003_ITS_FEA_XX.wav,fear
200,./Audios\Dataset\1003_ITS_HAP_XX.wav,happy
201,./Audios\Dataset\1003_ITS_NEU_XX.wav,neutral
202,./Audios\Dataset\1003_ITS_SAD_XX.wav,sad
203,./Audios\Dataset\1003_IWL_ANG_XX.wav,angry
204,./Audios\Dataset\1003_IWL_DIS_XX.wav,disgust
205,./Audios\Dataset\1003_IWL_FEA_XX.wav,fear
206,./Audios\Dataset\1003_IWL_HAP_XX.wav,happy
207,./Audios\Dataset\1003_IWL_NEU_XX.wav,neutral
208,./Audios\Dataset\1003_IWL_SAD_XX.wav,sad
209,./Audios\Dataset\1003_IWW_ANG_XX.wav,angry
210,./Audios\Dataset\1003_IWW_DIS_XX.wav,disgust
211,./Audios\Dataset\1003_IWW_FEA_XX.wav,fear
212,./Audios\Dataset\1003_IWW_HAP_XX.wav,happy
213,./Audios\Dataset\1003_IWW_NEU_XX.wav,neutral
214,./Audios\Dataset\1003_IWW_SAD_XX.wav,sad
215,./Audios\Dataset\1003_MTI_ANG_XX.wav,angry
216,./Audios\Dataset\1003_MTI_DIS_XX.wav,disgust
217,./Audios\Dataset\1003_MTI_FEA_XX.wav,fear
218,./Audios\Dataset\1003_MTI_HAP_XX.wav,happy
219,./Audios\Dataset\1003_MTI_NEU_XX.wav,neutral
220,./Audios\Dataset\1003_MTI_SAD_XX.wav,sad
221,./Audios\Dataset\1003_TAI_ANG_XX.wav,angry
222,./Audios\Dataset\1003_TAI_DIS_XX.wav,disgust
223,./Audios\Dataset\1003_TAI_FEA_XX.wav,fear
224,./Audios\Dataset\1003_TAI_HAP_XX.wav,happy
225,./Audios\Dataset\1003_TAI_NEU_XX.wav,neutral
226,./Audios\Dataset\1003_TAI_SAD_XX.wav,sad
227,./Audios\Dataset\1003_TIE_ANG_XX.wav,angry
228,./Audios\Dataset\1003_TIE_DIS_XX.wav,disgust
229,./Audios\Dataset\1003_TIE_FEA_XX.wav,fear
230,./Audios\Dataset\1003_TIE_HAP_XX.wav,happy
231,./Audios\Dataset\1003_TIE_NEU_XX.wav,neutral
232,./Audios\Dataset\1003_TIE_SAD_XX.wav,sad
233,./Audios\Dataset\1003_TSI_ANG_XX.wav,angry
234,./Audios\Dataset\1003_TSI_DIS_XX.wav,disgust
235,./Audios\Dataset\1003_TSI_FEA_XX.wav,fear
236,./Audios\Dataset\1003_TSI_HAP_XX.wav,happy
237,./Audios\Dataset\1003_TSI_NEU_XX.wav,neutral
238,./Audios\Dataset\1003_TSI_SAD_XX.wav,sad
239,./Audios\Dataset\1003_WSI_ANG_XX.wav,angry
240,./Audios\Dataset\1003_WSI_DIS_XX.wav,disgust
241,./Audios\Dataset\1003_WSI_FEA_XX.wav,fear
242,./Audios\Dataset\1003_WSI_HAP_XX.wav,happy
243,./Audios\Dataset\1003_WSI_NEU_XX.wav,neutral
244,./Audios\Dataset\1003_WSI_SAD_XX.wav,sad
245,./Audios\Dataset\1004_DFA_ANG_XX.wav,angry
246,./Audios\Dataset\1004_DFA_DIS_XX.wav,disgust
247,./Audios\Dataset\1004_DFA_FEA_XX.wav,fear
248,./Audios\Dataset\1004_DFA_HAP_XX.wav,happy
249,./Audios\Dataset\1004_DFA_NEU_XX.wav,neutral
250,./Audios\Dataset\1004_DFA_SAD_XX.wav,sad
251,./Audios\Dataset\1004_IEO_ANG_HI.wav,angry
252,./Audios\Dataset\1004_IEO_ANG_LO.wav,angry
253,./Audios\Dataset\1004_IEO_ANG_MD.wav,angry
254,./Audios\Dataset\1004_IEO_DIS_HI.wav,disgust
255,./Audios\Dataset\1004_IEO_DIS_LO.wav,disgust
256,./Audios\Dataset\1004_IEO_DIS_MD.wav,disgust
257,./Audios\Dataset\1004_IEO_FEA_HI.wav,fear
258,./Audios\Dataset\1004_IEO_FEA_LO.wav,fear
259,./Audios\Dataset\1004_IEO_FEA_MD.wav,fear
260,./Audios\Dataset\1004_IEO_HAP_HI.wav,happy
261,./Audios\Dataset\1004_IEO_HAP_LO.wav,happy
262,./Audios\Dataset\1004_IEO_HAP_MD.wav,happy
263,./Audios\Dataset\1004_IEO_NEU_XX.wav,neutral
264,./Audios\Dataset\1004_IEO_SAD_HI.wav,sad
265,./Audios\Dataset\1004_IEO_SAD_LO.wav,sad
266,./Audios\Dataset\1004_IEO_SAD_MD.wav,sad
267,./Audios\Dataset\1004_IOM_ANG_XX.wav,angry
268,./Audios\Dataset\1004_IOM_DIS_XX.wav,disgust
269,./Audios\Dataset\1004_IOM_FEA_XX.wav,fear
270,./Audios\Dataset\1004_IOM_HAP_XX.wav,happy
271,./Audios\Dataset\1004_IOM_NEU_XX.wav,neutral
272,./Audios\Dataset\1004_IOM_SAD_XX.wav,sad
273,./Audios\Dataset\1004_ITH_ANG_XX.wav,angry
274,./Audios\Dataset\1004_ITH_DIS_XX.wav,disgust
275,./Audios\Dataset\1004_ITH_FEA_XX.wav,fear
276,./Audios\Dataset\1004_ITH_HAP_XX.wav,happy
277,./Audios\Dataset\1004_ITH_NEU_XX.wav,neutral
278,./Audios\Dataset\1004_ITH_SAD_XX.wav,sad
279,./Audios\Dataset\1004_ITS_ANG_XX.wav,angry
280,./Audios\Dataset\1004_ITS_DIS_XX.wav,disgust
281,./Audios\Dataset\1004_ITS_FEA_XX.wav,fear
282,./Audios\Dataset\1004_ITS_HAP_XX.wav,happy
283,./Audios\Dataset\1004_ITS_NEU_XX.wav,neutral
284,./Audios\Dataset\1004_ITS_SAD_XX.wav,sad
285,./Audios\Dataset\1004_IWL_ANG_XX.wav,angry
286,./Audios\Dataset\1004_IWL_DIS_XX.wav,disgust
287,./Audios\Dataset\1004_IWL_FEA_XX.wav,fear
288,./Audios\Dataset\1004_IWL_HAP_XX.wav,happy
289,./Audios\Dataset\1004_IWL_NEU_XX.wav,neutral
290,./Audios\Dataset\1004_IWL_SAD_XX.wav,sad
291,./Audios\Dataset\1004_IWW_ANG_XX.wav,angry
292,./Audios\Dataset\1004_IWW_DIS_XX.wav,disgust
293,./Audios\Dataset\1004_IWW_FEA_XX.wav,fear
294,./Audios\Dataset\1004_IWW_HAP_XX.wav,happy
295,./Audios\Dataset\1004_IWW_NEU_XX.wav,neutral
296,./Audios\Dataset\1004_IWW_SAD_XX.wav,sad
297,./Audios\Dataset\1004_MTI_ANG_XX.wav,angry
298,./Audios\Dataset\1004_MTI_DIS_XX.wav,disgust
299,./Audios\Dataset\1004_MTI_FEA_XX.wav,fear
300,./Audios\Dataset\1004_MTI_HAP_XX.wav,happy
301,./Audios\Dataset\1004_MTI_NEU_XX.wav,neutral
302,./Audios\Dataset\1004_MTI_SAD_XX.wav,sad
303,./Audios\Dataset\1004_TAI_ANG_XX.wav,angry
304,./Audios\Dataset\1004_TAI_DIS_XX.wav,disgust
305,./Audios\Dataset\1004_TAI_FEA_XX.wav,fear
306,./Audios\Dataset\1004_TAI_HAP_XX.wav,happy
307,./Audios\Dataset\1004_TAI_NEU_XX.wav,neutral
308,./Audios\Dataset\1004_TAI_SAD_XX.wav,sad
309,./Audios\Dataset\1004_TIE_ANG_XX.wav,angry
310,./Audios\Dataset\1004_TIE_DIS_XX.wav,disgust
311,./Audios\Dataset\1004_TIE_FEA_XX.wav,fear
312,./Audios\Dataset\1004_TIE_HAP_XX.wav,happy
313,./Audios\Dataset\1004_TIE_NEU_XX.wav,neutral
314,./Audios\Dataset\1004_TIE_SAD_XX.wav,sad
315,./Audios\Dataset\1004_TSI_ANG_XX.wav,angry
316,./Audios\Dataset\1004_TSI_DIS_XX.wav,disgust
317,./Audios\Dataset\1004_TSI_FEA_XX.wav,fear
318,./Audios\Dataset\1004_TSI_HAP_XX.wav,happy
319,./Audios\Dataset\1004_TSI_NEU_XX.wav,neutral
320,./Audios\Dataset\1004_TSI_SAD_XX.wav,sad
321,./Audios\Dataset\1004_WSI_ANG_XX.wav,angry
322,./Audios\Dataset\1004_WSI_DIS_XX.wav,disgust
323,./Audios\Dataset\1004_WSI_FEA_XX.wav,fear
324,./Audios\Dataset\1004_WSI_HAP_XX.wav,happy
325,./Audios\Dataset\1004_WSI_NEU_XX.wav,neutral
326,./Audios\Dataset\1004_WSI_SAD_XX.wav,sad
327,./Audios\Dataset\1005_DFA_ANG_XX.wav,angry
328,./Audios\Dataset\1005_DFA_DIS_XX.wav,disgust
329,./Audios\Dataset\1005_DFA_FEA_XX.wav,fear
330,./Audios\Dataset\1005_DFA_HAP_XX.wav,happy
331,./Audios\Dataset\1005_DFA_NEU_XX.wav,neutral
332,./Audios\Dataset\1005_DFA_SAD_XX.wav,sad
333,./Audios\Dataset\1005_IEO_ANG_HI.wav,angry
334,./Audios\Dataset\1005_IEO_ANG_LO.wav,angry
335,./Audios\Dataset\1005_IEO_ANG_MD.wav,angry
336,./Audios\Dataset\1005_IEO_DIS_HI.wav,disgust
337,./Audios\Dataset\1005_IEO_DIS_LO.wav,disgust
338,./Audios\Dataset\1005_IEO_DIS_MD.wav,disgust
339,./Audios\Dataset\1005_IEO_FEA_HI.wav,fear
340,./Audios\Dataset\1005_IEO_FEA_LO.wav,fear
341,./Audios\Dataset\1005_IEO_FEA_MD.wav,fear
342,./Audios\Dataset\1005_IEO_HAP_HI.wav,happy
343,./Audios\Dataset\1005_IEO_HAP_LO.wav,happy
344,./Audios\Dataset\1005_IEO_HAP_MD.wav,happy
345,./Audios\Dataset\1005_IEO_NEU_XX.wav,neutral
346,./Audios\Dataset\1005_IEO_SAD_HI.wav,sad
347,./Audios\Dataset\1005_IEO_SAD_LO.wav,sad
348,./Audios\Dataset\1005_IEO_SAD_MD.wav,sad
349,./Audios\Dataset\1005_IOM_ANG_XX.wav,angry
350,./Audios\Dataset\1005_IOM_DIS_XX.wav,disgust
351,./Audios\Dataset\1005_IOM_FEA_XX.wav,fear
352,./Audios\Dataset\1005_IOM_HAP_XX.wav,happy
353,./Audios\Dataset\1005_IOM_NEU_XX.wav,neutral
354,./Audios\Dataset\1005_IOM_SAD_XX.wav,sad
355,./Audios\Dataset\1005_ITH_ANG_XX.wav,angry
356,./Audios\Dataset\1005_ITH_DIS_XX.wav,disgust
357,./Audios\Dataset\1005_ITH_FEA_XX.wav,fear
358,./Audios\Dataset\1005_ITH_HAP_XX.wav,happy
359,./Audios\Dataset\1005_ITH_NEU_XX.wav,neutral
360,./Audios\Dataset\1005_ITH_SAD_XX.wav,sad
361,./Audios\Dataset\1005_ITS_ANG_XX.wav,angry
362,./Audios\Dataset\1005_ITS_DIS_XX.wav,disgust
363,./Audios\Dataset\1005_ITS_FEA_XX.wav,fear
364,./Audios\Dataset\1005_ITS_HAP_XX.wav,happy
365,./Audios\Dataset\1005_ITS_NEU_XX.wav,neutral
366,./Audios\Dataset\1005_ITS_SAD_XX.wav,sad
367,./Audios\Dataset\1005_IWL_ANG_XX.wav,angry
368,./Audios\Dataset\1005_IWL_DIS_XX.wav,disgust
369,./Audios\Dataset\1005_IWL_FEA_XX.wav,fear
370,./Audios\Dataset\1005_IWL_HAP_XX.wav,happy
371,./Audios\Dataset\1005_IWL_NEU_XX.wav,neutral
372,./Audios\Dataset\1005_IWL_SAD_XX.wav,sad
373,./Audios\Dataset\1005_IWW_ANG_XX.wav,angry
374,./Audios\Dataset\1005_IWW_DIS_XX.wav,disgust
375,./Audios\Dataset\1005_IWW_FEA_XX.wav,fear
376,./Audios\Dataset\1005_IWW_HAP_XX.wav,happy
377,./Audios\Dataset\1005_IWW_NEU_XX.wav,neutral
378,./Audios\Dataset\1005_IWW_SAD_XX.wav,sad
379,./Audios\Dataset\1005_MTI_ANG_XX.wav,angry
380,./Audios\Dataset\1005_MTI_DIS_XX.wav,disgust
381,./Audios\Dataset\1005_MTI_FEA_XX.wav,fear
382,./Audios\Dataset\1005_MTI_HAP_XX.wav,happy
383,./Audios\Dataset\1005_MTI_NEU_XX.wav,neutral
384,./Audios\Dataset\1005_MTI_SAD_XX.wav,sad
385,./Audios\Dataset\1005_TAI_ANG_XX.wav,angry
386,./Audios\Dataset\1005_TAI_DIS_XX.wav,disgust
387,./Audios\Dataset\1005_TAI_FEA_XX.wav,fear
388,./Audios\Dataset\1005_TAI_HAP_XX.wav,happy
389,./Audios\Dataset\1005_TAI_NEU_XX.wav,neutral
390,./Audios\Dataset\1005_TAI_SAD_XX.wav,sad
391,./Audios\Dataset\1005_TIE_ANG_XX.wav,angry
392,./Audios\Dataset\1005_TIE_DIS_XX.wav,disgust
393,./Audios\Dataset\1005_TIE_FEA_XX.wav,fear
394,./Audios\Dataset\1005_TIE_HAP_XX.wav,happy
395,./Audios\Dataset\1005_TIE_NEU_XX.wav,neutral
396,./Audios\Dataset\1005_TIE_SAD_XX.wav,sad
397,./Audios\Dataset\1005_TSI_ANG_XX.wav,angry
398,./Audios\Dataset\1005_TSI_DIS_XX.wav,disgust
399,./Audios\Dataset\1005_TSI_FEA_XX.wav,fear
400,./Audios\Dataset\1005_TSI_HAP_XX.wav,happy
401,./Audios\Dataset\1005_TSI_NEU_XX.wav,neutral
402,./Audios\Dataset\1005_TSI_SAD_XX.wav,sad
403,./Audios\Dataset\1005_WSI_ANG_XX.wav,angry
404,./Audios\Dataset\1005_WSI_DIS_XX.wav,disgust
405,./Audios\Dataset\1005_WSI_FEA_XX.wav,fear
406,./Audios\Dataset\1005_WSI_HAP_XX.wav,happy
407,./Audios\Dataset\1005_WSI_NEU_XX.wav,neutral
408,./Audios\Dataset\1005_WSI_SAD_XX.wav,sad
409,./Audios\Dataset\1006_DFA_ANG_XX.wav,angry
410,./Audios\Dataset\1006_DFA_DIS_XX.wav,disgust
411,./Audios\Dataset\1006_DFA_FEA_XX.wav,fear
412,./Audios\Dataset\1006_DFA_HAP_XX.wav,happy
413,./Audios\Dataset\1006_DFA_NEU_XX.wav,neutral
414,./Audios\Dataset\1006_DFA_SAD_XX.wav,sad
415,./Audios\Dataset\1006_IEO_ANG_HI.wav,angry
416,./Audios\Dataset\1006_IEO_ANG_LO.wav,angry
417,./Audios\Dataset\1006_IEO_ANG_MD.wav,angry
418,./Audios\Dataset\1006_IEO_DIS_HI.wav,disgust
419,./Audios\Dataset\1006_IEO_DIS_LO.wav,disgust
420,./Audios\Dataset\1006_IEO_DIS_MD.wav,disgust
421,./Audios\Dataset\1006_IEO_FEA_HI.wav,fear
422,./Audios\Dataset\1006_IEO_FEA_LO.wav,fear
423,./Audios\Dataset\1006_IEO_FEA_MD.wav,fear
424,./Audios\Dataset\1006_IEO_HAP_HI.wav,happy
425,./Audios\Dataset\1006_IEO_HAP_LO.wav,happy
426,./Audios\Dataset\1006_IEO_HAP_MD.wav,happy
427,./Audios\Dataset\1006_IEO_NEU_XX.wav,neutral
428,./Audios\Dataset\1006_IEO_SAD_HI.wav,sad
429,./Audios\Dataset\1006_IEO_SAD_LO.wav,sad
430,./Audios\Dataset\1006_IEO_SAD_MD.wav,sad
431,./Audios\Dataset\1006_IOM_ANG_XX.wav,angry
